EXPOCODE,SECT,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,SBE35,SBE35_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,DWNPRS,DWNPRS_FLAG_W,DWNOXY,DWNOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,SILUNC,NITRAT,NITRAT_FLAG_W,NRAUNC,NITRIT,NITRIT_FLAG_W,NRIUNC,PHSPHT,PHSPHT_FLAG_W,PHPUNC,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TMP,PH_TOT_FLAG_W,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,TOC,TOC_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,CS-137,CS-137_FLAG_W,CS137ER,PLUTO,PLUTO_FLAG_W,PLUTOER,THETA,SIG0
,,,,,,,,UTC,DEG,DEG,M,DBAR,,ITS-90,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,DBAR,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,DEG_C,,/MILLE,,/MILLE,/MILLE,,/MILLE,UMOL/KG,,KBQ/CUM,,KBQ/CUM,BQ/CUM,,BQ/CUM,MBQ/CUM,,MBQ/CUM,DEG C,KG/CUM
49NZ20030909,   P06,127,4,28,12040,2,20030912,1358,-32.511,-149.8195,5025,499.7,2,7.8159,2,7.81424,2,34.4491,2,34.4493,2,229.84,2,496.7,2,235.46,2,235.01,2,4.69,2,0.13,19.61,2,0.09,-0.01,2,0.01,1.39,2,0.01,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,7.7654,26.8759
49NZ20030909,   P06,127,4,27,12039,2,20030912,1358,-32.511,-149.8195,5025,601.4,2,7.0654,2,7.06866,2,34.3952,2,34.3959,2,235.76,2,601.4,2,238.89,2,241.41,2,6.21,2,0.13,21.37,2,0.09,-0.01,2,0.01,1.51,2,0.01,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,1,-999,0.62,2,0.06,-999,1,-999,7.0077,26.9413
49NZ20030909,   P06,127,4,26,12038,2,20030912,1358,-32.511,-149.8195,5025,699.9,2,6.5479,2,6.54868,2,34.356,2,34.356,2,234.63,2,699.8,2,239.85,2,240.26,2,7.93,2,0.14,22.94,2,0.1,-0.01,2,0.01,1.61,2,0.01,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,6.483,26.9813
49NZ20030909,   P06,127,4,25,12037,2,20030912,1358,-32.511,-149.8195,5025,801.8,2,6,2,6.00021,2,34.3256,2,34.3251,2,228.5,2,803.2,2,235.3,2,234.77,2,10.9,2,0.14,24.89,2,0.1,-0.01,2,0.01,1.74,2,0.01,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,1,-999,0.65,2,0.09,-999,1,-999,5.9285,27.0287
49NZ20030909,   P06,127,4,24,12036,2,20030912,1358,-32.511,-149.8195,5025,901.3,2,5.4515,2,5.45133,2,34.31,2,34.31,2,217.4,2,903.1,2,224.93,2,223.61,2,16.1,2,0.15,27.01,2,0.11,-0.01,2,0.01,1.89,2,0.01,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,5.3742,27.0843
49NZ20030909,   P06,127,4,23,12035,2,20030912,1358,-32.511,-149.8195,5025,1000.6,2,4.931,2,4.93105,2,34.3133,2,34.3136,2,204.73,2,999.9,2,210.56,2,210.77,2,22.71,2,0.17,29.22,2,0.11,-0.01,2,0.01,2.04,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,1,-999,0.19,2,0.02,-999,1,-999,4.8485,27.1481
49NZ20030909,   P06,127,4,22,12034,2,20030912,1358,-32.511,-149.8195,5025,1200.8,2,3.8533,2,3.8533,2,34.368,2,34.3685,2,181.98,2,1200.1,2,187.54,2,187.73,2,41.83,2,0.21,32.7,2,0.12,-0.01,2,0.01,2.29,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,1,-999,-999,5,-999,-999,1,-999,3.7623,27.3076
49NZ20030909,   P06,127,4,21,12033,2,20030912,1358,-32.511,-149.8195,5025,1400.5,2,3.1031,2,3.10297,2,34.4618,2,34.4619,2,166.35,2,1400,2,171.73,2,171.73,2,62.44,2,0.26,34.26,2,0.13,-0.01,2,0.01,2.4,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,1,-999,0.09,2,0.04,-999,1,-999,3.0026,27.4552
49NZ20030909,   P06,127,4,20,12032,2,20030912,1358,-32.511,-149.8195,5025,1601.2,2,2.6783,2,2.67814,2,34.546,2,34.5459,2,156.96,2,1601,2,162.47,2,162.34,2,80.86,2,0.3,34.92,2,0.13,-0.01,2,0.01,2.47,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,2.566,27.5612
49NZ20030909,   P06,127,4,19,12031,2,20030912,1358,-32.511,-149.8195,5025,1800.8,2,2.4066,2,2.40653,2,34.5999,2,34.6,2,150.44,2,1800.2,2,155.76,2,155.76,2,97.03,2,0.33,35.08,2,0.13,-0.01,2,0.01,2.49,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,2.2811,27.6284
