EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,FCO2_TMP,PH_TOT,PH_TOT_FLAG_W,PH_TMP,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,HELIER,DELHE3,DELHE3_FLAG_W,DELHER,NEON,NEON_FLAG_W,NEONER,DELC14,DELC14_FLAG_W,C14ERR,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W,DCNS,ARABI,ARABI_FLAG_W,FUCO,FUCO_FLAG_W,GALA,GALA_FLAG_W,GLUC,GLUC_FLAG_W,MAN,MAN_FLAG_W,RHAM,RHAM_FLAG_W,BRDU,BRDU_FLAG_W,THETA
,,,,,,,,,,,METERS,,DBAR,ITS-90,PSS-78,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEG C,,,DEG C,UMOL/KG,,UMOL/KG,,TU,,TU,NMOL/KG,,NMOL/KG,PERCNT,,PERCNT,NMOL/KG,,NMOL/KG,/MILLE,,/MILLE,1/M,,1/M,,1/M,,1/M,,1/NM,,1/NM,,NMOL/KG,NMOL/KG,,NMOL/KG,,NMOL/KG,,NMOL/KG,,NMOL/KG,,NMOL/KG,,PMOL/L/H,,DEG C
  325020060213,  P16N,     1,  2,     26,     26,2,20060214,1218,-17.0002,-149.9995, 1935, 231.2000,    231.2,  21.0063,  35.8496,  35.8279,4,    174.2,2,    172.5,2,     0.80,2,     3.90,6,     0.00,6,     0.47,6,    2.131,2,    1.235,2,   2087.1,2,   2356.2,2,   -999.0,9,     -999,   7.9771,2,    25.00,     49.4,2,     8.17,2,    0.413,2,    0.003,   1.7433,2,   0.0052,    -1.06,2,     0.14,    7.053,2,    0.021,     89.2,2,      3.6,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9,  20.9618
  325020060213,  P16N,     1,  2,     25,     25,9,20060214,1218,-17.0002,-149.9995, 1935, 261.8000,    261.8,  19.3300,  35.6303,-999.0000,9,    174.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,     -999,-999.0000,9,  -999.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9,  19.2825
  325020060213,  P16N,     1,  2,     24,     24,2,20060214,1218,-17.0002,-149.9995, 1935, 301.2000,    301.2,  16.9243,  35.3187,  35.3070,4,    173.7,2,    171.0,2,     2.30,2,     7.90,6,     0.00,6,     0.71,6,    2.265,2,    1.243,2,   2101.5,2,   2323.5,2,   -999.0,9,     -999,-999.0000,9,  -999.00,     45.8,2,    12.03,2,    0.388,3,    0.003,   1.7676,2,   0.0053,    -0.37,2,     0.14,    7.212,2,    0.022,     93.0,2,      3.3,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9,  16.8745
  325020060213,  P16N,     1,  2,     23,     23,2,20060214,1218,-17.0002,-149.9995, 1935, 356.4000,    356.4,  14.6544,  35.0536,  35.0208,4,    173.1,2,    167.3,2,     4.10,2,    11.70,6,     0.00,6,     0.96,6,    2.127,2,    1.157,2,   2115.9,2,   2308.2,6,   -999.0,9,     -999,   7.8249,2,    25.00,     44.1,2,    15.67,2,    0.313,2,    0.003,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,     67.7,2,      2.8,   0.0720,2,   0.0450,2,   0.0150,2,   0.0100,2,   0.0301,2,   0.0306,2,-999.0000,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9,  14.6010
  325020060213,  P16N,     1,  2,     22,     22,2,20060214,1218,-17.0002,-149.9995, 1935, 449.7000,    449.7,   9.3448,  34.5663,  34.5420,4,    141.7,2,    138.8,2,    14.60,2,    25.30,6,     0.00,6,     1.80,6, -999.000,9, -999.000,9,   2177.1,2,   2293.3,2,   -999.0,9,     -999,   7.6438,2,    25.00,     42.1,2,    29.49,2,    0.106,2,    0.005,   1.7949,2,   0.0054,     2.46,2,     0.14,    7.553,2,    0.023,     -8.1,2,      2.3,   0.0940,2,   0.0620,2,   0.0280,2,   0.0200,2,   0.0231,2,   0.0248,2,-999.0000,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9,   9.2944
  325020060213,  P16N,     1,  2,     21,     21,2,20060214,1218,-17.0002,-149.9995, 1935, 501.3000,    501.3,   8.1024,  34.4993,  34.4946,4,    143.9,2,    141.5,2,    18.90,2,    28.00,6,     0.00,6,     1.95,6,   -0.003,4,   -0.008,4,   2188.2,6,   2291.3,2,   -999.0,9,     -999,   7.6193,2,    25.00,     40.6,2,    32.18,2,    0.087,2,    0.004,   1.8144,2,   0.0054,     3.61,2,     0.14,    7.694,2,    0.023,    -33.9,2,      3.3,   0.0940,2,   0.0600,2,   0.0280,2,   0.0190,2,   0.0232,2,   0.0253,2,-999.0000,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9,   8.0507
  325020060213,  P16N,     1,  2,     20,     20,2,20060214,1218,-17.0002,-149.9995, 1935, 600.5000,    600.5,   6.5616,  34.4520,  34.4428,4,    150.4,2,    148.0,2,    28.40,2,    31.20,6,     0.00,6,     2.12,6,    0.380,2,    0.210,2,   2201.4,2,   2297.7,2,   -999.0,9,     -999,   7.5959,2,    25.00,     39.9,2,    35.23,2,    0.042,2,    0.004,   1.8311,2,   0.0055,     6.45,2,     0.14,    7.790,2,    0.023,    -76.6,2,      2.6,   0.0930,2,   0.0590,2,   0.0260,2,   0.0180,2,   0.0242,2,   0.0262,2,-999.0000,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9,   6.5062
  325020060213,  P16N,     1,  2,     19,     19,2,20060214,1218,-17.0002,-149.9995, 1935, 699.8000,    699.8,   5.4223,  34.4332,  34.4161,4,    154.8,2,    152.4,2,    39.10,2,    33.30,6,     0.00,6,     2.24,6,    0.181,2,    0.098,2,   2214.1,2,   2312.2,2,   -999.0,9,     -999,   7.5861,2,    25.00,     38.7,2,    37.02,2, -999.000,9, -999.000,   1.8067,3,   0.0054,     8.90,2,     0.14,    7.750,2,    0.023,   -105.7,2,      2.5,   0.0920,2,   0.0580,2,   0.0230,2,   0.0140,2,   0.0263,2,   0.0281,2,-999.0000,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9,   5.3633
  325020060213,  P16N,     1,  2,     18,     18,2,20060214,1218,-17.0002,-149.9995, 1935, 800.3000,    800.3,   4.9076,  34.4673,  34.4562,4,    149.0,2,    145.9,2,    51.00,2,    34.50,6,     0.00,6,     2.33,6,    0.072,2,    0.041,6,   2231.6,2,   2322.4,2,   -999.0,9,     -999,   7.5723,2,    25.00,     37.9,2,    38.47,2,    0.015,2,    0.003,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -133.2,2,      3.0,   0.0970,2,   0.0630,2,   0.0290,2,   0.0190,2,   0.0223,2,   0.0243,2,-999.0000,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9,   4.8427
  325020060213,  P16N,     1,  2,     17,     17,2,20060214,1218,-17.0002,-149.9995, 1935, 900.1000,    900.1,   4.5158,  34.4858,  34.4779,4,    145.1,2,    142.8,2,    59.40,2,    35.20,6,     0.00,6,     2.38,6,    0.052,2,    0.023,2,   2241.9,2,   2329.6,2,   -999.0,9,     -999,-999.0000,9,  -999.00,     37.4,2,    39.45,2,    0.011,3,    0.004,   1.8606,2,   0.0056,    14.65,2,     0.14,    7.967,2,    0.024,   -146.6,2,      2.6,   0.0920,2,   0.0580,2,   0.0230,2,   0.0130,2,   0.0263,2,   0.0280,2,-999.0000,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9,   4.4448
